NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3147;Admisión OPSU;13;2013;O;Distrito Federal;16,6;F;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,5;Enero-Marzo   2018
3148;Admisión OPSU;13;2013;P;Bolívar;15,2927;F;TECNOLOGÍA ELÉCTRICA;ACTIVO;3,4949;Enero-Marzo   2018
3149;Admisión OPSU;13;2013;P;VARGAS;16,71;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,7;Enero-Marzo   2014
3150;Admisión OPSU;13;2013;O;ARAGUA;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,2308;Septiembre-Diciembre 2013
3151;Admisión OPSU;13;2013;O;Aragua;;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;3,3889;Enero-Marzo   2018
3152;Admisión OPSU;13;2013;O;VARGAS;15,95;F;ORGANIZACIÓN EMPRESARIAL;ACTIVO;3,7132;Enero-Marzo   2017
3153;Admisión OPSU;13;2013;O;Miranda;;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2013
3154;Admisión OPSU;13;2013;O;Miranda;;F;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,129;Abril-Julio 2015
3155;Admisión OPSU;13;2013;O;;;F;COMERCIO INTERNACIONAL;SUSPENDIDO;2,7586;Enero-Marzo   2014
3156;Admisión OPSU;13;2013;O;;;F;ADMINISTRACIÓN DEL TRANSPORTE;SUSPENDIDO;1;Septiembre-Diciembre 2013
3157;Admisión OPSU;13;2013;O;VARGAS;;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3158;Admisión OPSU;13;2013;O;;;M;COMERCIO INTERNACIONAL;ACTIVO;4,0625;Enero-Marzo   2018
